"SKU","Name","On Hand","Available","Customs Description","Tariff Code","Customs Value","Price","Warehouse Product Price","Barcode","Warehouse"
"WRRISP01","VEER RING IN SILVER Silver","652","652","Sterling silver jewelry","711311","10","0.0000","58.0000","VR-17","Vareya BV / Primary"
"WRRIGP01","VEER RING WOMAN GOLD","0","0","VEER RING WOMAN GOLD","0","0.0000","0.0000",,"VR-18","Vareya BV / Primary"
"WRMNMP01","LINEAR RING Silver","779","777","Imitation jewelry","711719","3","0.0000","18.0000","VR - 09","Vareya BV / Primary"
"WRMNGP01","LINEAR RING Gold","394","388","Imitation jewelry","711719","3","0.0000","18.0000","VR - 10","Vareya BV / Primary"
"WRCYMP01","FLUID RING Silver","1891","1883","Imitation jewelry","711719","3","0.0000","19.0000","VR - 11","Vareya BV / Primary"
"WRCYGP01","FLUID RING Gold","2019","2007","Imitation jewelry","711719","3","0.0000","19.0000","VR - 12","Vareya BV / Primary"
"WNSQMP01","SQUARE CHAIN NECKLACE Silver","941","941","Imitation jewelry","711719","4","0.0000","29.0000","VN - 24","Vareya BV / Primary"
"WNSQGP01","SQUARE CHAIN NECKLACE Gold","3196","3192","Imitation jewelry","711719","4","0.0000","29.0000","VN - 28","Vareya BV / Primary"
"WNFSMP01","FLUID CHAIN NECKLACE Silver","135","135","Imitation jewelry","711719","4","0.0000","29.0000","VN - 26","Vareya BV / Primary"
"WNFSGP01","FLUID CHAIN NECKLACE Gold","912","907","Imitation jewelry","711719","4","0.0000","29.0000","VN - 30","Vareya BV / Primary"
"WNDSMP01","BRAID CHAIN NECKLACE Silver","551","551","Imitation jewelry","711719","4","0.0000","29.0000","VN - 27","Vareya BV / Primary"
"WNDSGP01","BRAID CHAIN NECKLACE Gold","1642","1641","Imitation jewelry","711719","4","0.0000","29.0000","VN - 31","Vareya BV / Primary"
"WNBXMP01","BOX CHAIN NECKLACE Silver","1054","1054","Imitation jewelry","711719","4","0.0000","29.0000","VN - 25","Vareya BV / Primary"
"WNBXGP01","BOX CHAIN NECKLACE Gold","2690","2689","Imitation jewelry","711719","4","0.0000","29.0000","VN - 29","Vareya BV / Primary"
"WNBCSS01","Non-Violence x Vacier Women's Chain Necklace Silver","22","22","Sterling silver jewelry","711311","16","0.0000","108.0000","VN-20","Vareya BV / Primary"
"WNBCGS01","Non-Violence x Vacier Women's Chain Necklace Gold","41","41","Sterling silver jewelry","711311","16","0.0000","108.0000","VN-21","Vareya BV / Primary"
"WEMNMP01","LINEAR HOOPS Silver","205","205","Imitation jewelry","711719","4","0.0000","27.0000","VE - 01","Vareya BV / Primary"
"WEMNGP01","LINEAR HOOPS Gold","1135","1133","Imitation jewelry","711719","4","0.0000","27.0000","VE - 02","Vareya BV / Primary"
"WECYMP01","FLUID HOOPS Silver","274","270","Imitation jewelry","711719","4","0.0000","28.0000","VE - 03","Vareya BV / Primary"
